date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:07	99347/99347	---M--	200	added ('OK')	image/jpeg	etag:%220-18413-645bed5c%22	http://10.151.34.32:89/LLDS_July_2021/Picture/KIE_01R_16.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/KIE_01R_16.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/KIE_01R_16.html)
15:43:12	123460/123460	---M--	200	added ('OK')	image/jpeg	etag:%220-1e244-645bed69%22	http://10.151.34.32:89/LLDS_July_2021/Picture/KIE_03_18.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/KIE_03_18.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/KIE_03_18.html)
15:43:12	128285/128285	---M--	200	added ('OK')	image/jpeg	etag:%220-1f51d-645bed5c%22	http://10.151.34.32:89/LLDS_July_2021/Picture/KIE_02_17.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/KIE_02_17.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/KIE_02_17.html)
15:43:14	12358/12358	---M--	200	added ('OK')	image/jpeg	etag:%220-3046-644fd31d%22	http://10.151.34.32:89/LLDS_July_2021/Picture/TS_02_Plots_45.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/TS_02_Plots_45.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/TS_02_Plots_45.html)
15:43:15	401/401	---M--	200	added ('OK')	text/html	etag:%220-191-645bed6a%22	http://10.151.34.32:89/LLDS_July_2021/Picture/TS_02_Graph_47.html	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/TS_02_Graph_47.html	(from http://10.151.34.32:89/LLDS_July_2021/Picture/TS_02_Plots_45.html)
15:43:17	12345/12345	---M--	200	added ('OK')	image/jpeg	etag:%220-3039-644fd31d%22	http://10.151.34.32:89/LLDS_July_2021/Picture/TS_04_Plots_46.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/TS_04_Plots_46.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/TS_04_Plots_46.html)
15:43:17	401/401	---M--	200	added ('OK')	text/html	etag:%220-191-645bed6b%22	http://10.151.34.32:89/LLDS_July_2021/Picture/TS_04_Graph_48.html	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/TS_04_Graph_48.html	(from http://10.151.34.32:89/LLDS_July_2021/Picture/TS_04_Plots_46.html)
15:43:20	138136/138136	---M--	200	added ('OK')	image/jpeg	etag:%220-21b98-645bed6c%22	http://10.151.34.32:89/LLDS_July_2021/Picture/Tilt_Logger_Plots_42.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/Tilt_Logger_Plots_42.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/Tilt_Logger_Plots_42.html)
15:43:25	112661/112661	---M--	200	added ('OK')	image/jpeg	etag:%220-1b815-645bed65%22	http://10.151.34.32:89/LLDS_July_2021/Picture/VW_19__VW_20_43.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/VW_19__VW_20_43.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/VW_19__VW_20_43.html)
15:43:30	114081/114081	---M--	200	added ('OK')	image/jpeg	etag:%220-1bda1-645bed79%22	http://10.151.34.32:89/LLDS_July_2021/Picture/VW_21__VW_22_44.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/VW_21__VW_22_44.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/VW_21__VW_22_44.html)
15:43:34	103922/103922	---M--	200	added ('OK')	image/jpeg	etag:%220-195f2-645bed55%22	http://10.151.34.32:89/LLDS_July_2021/Picture/VW_15_49.jpg	C:/Users/Samuel.Kiezebrink/Documents/GitHub/GeoViewer/10.151.34.32_89/LLDS_July_2021/Picture/VW_15_49.jpg	(from http://10.151.34.32:89/LLDS_July_2021/Picture/VW_15_49.html)
